"","Return_Year","Bonn_Sockeye_24hr","RockI_gt_Bonn_diff","Bonn_Sockeye_adj","RockI_Sockeye_24hr","RRH_gt_RockI_diff","RockI_Sockeye_adj","RRH_Sockeye_24hr","Well_gt_RRH_diff","RRH_Sockeye_adj","Wells_Sockeye_24hr","Wells_Sockeye_adj","Tum_Sockeye_24hr","Tum_Sockeye_adj"
"1",1977,104120,NA,104120,90261,NA,90261,28726,NA,28726,24873,24873,NA,NA
"2",1978,19049,NA,19049,14936,NA,14936,9351,NA,9351,8653,8653,NA,NA
"3",1979,54681,NA,54681,50583,NA,50583,32418,NA,32418,30173,30173,NA,NA
"4",1980,61218,NA,61218,52657,NA,52657,33495,NA,33495,30081,30081,NA,NA
"5",1981,58244,NA,58244,47139,NA,47139,34327,NA,34327,31961,31961,NA,NA
"6",1982,52164,NA,52164,41111,NA,41111,19464,2050,21514,21514,21514,NA,NA
"7",1983,104852,NA,104852,86424,NA,86424,29208,2403,31611,31611,31611,NA,NA
"8",1984,159537,NA,159537,109092,NA,109092,82085,9668,91753,91753,91753,NA,NA
"9",1985,174065,NA,174065,103200,NA,103200,60566,NA,60566,59984,59984,NA,NA
"10",1986,60424,NA,60424,49788,NA,49788,36857,2523,39380,39380,39380,NA,NA
"11",1987,122144,NA,122144,69868,NA,69868,46049,NA,46049,45416,45416,NA,NA
"12",1988,83025,NA,83025,49177,NA,49177,38180,283,38463,38463,38463,NA,NA
"13",1989,43462,NA,43462,37360,NA,37360,18116,NA,18116,18085,18085,NA,NA
"14",1990,51497,NA,51497,44143,NA,44143,10412,NA,10412,8613,8613,NA,NA
"15",1991,79638,NA,79638,62118,NA,62118,30733,386,31119,31119,31119,NA,NA
"16",1992,88557,NA,88557,68359,NA,68359,46820,669,47489,47489,47489,NA,NA
"17",1993,83512,NA,83512,65630,NA,65630,31717,NA,31717,31525,31525,NA,NA
"18",1994,13141,NA,13141,10976,NA,10976,1662,224,1886,1886,1886,NA,NA
"19",1995,9075,387,9462,9462,NA,9462,4988,550,5538,5538,5538,NA,NA
"20",1996,31149,NA,31149,29500,NA,29500,21741,NA,21741,20038,20038,NA,NA
"21",1997,47951,NA,47951,40375,NA,40375,30661,NA,30661,27871,27871,NA,NA
"22",1998,13517,NA,13517,9367,NA,9367,5988,NA,5988,4666,4666,NA,NA
"23",1999,18242,129,18371,18371,NA,18371,14111,NA,14111,12388,12388,1172,1172
"24",2000,97326,NA,97326,76512,NA,76512,57428,2516,59944,59944,59944,20979,20979
"25",2001,119981,NA,119981,104840,NA,104840,66220,8266,74486,74486,74486,32633,32633
"26",2002,51109,NA,51109,44319,NA,44319,12373,NA,12373,10659,10659,27821,27821
"27",2003,40757,NA,40757,34779,NA,34779,30355,NA,30355,29374,29374,5074,5074
"28",2004,128763,NA,128763,106666,NA,106666,81338,NA,81338,78053,78053,33167,33167
"29",2005,75962,NA,75962,71226,NA,71226,55570,NA,55570,55559,55559,14218,14218
"30",2006,38437,NA,38437,35132,NA,35132,25377,NA,25377,22075,22075,9657,9657
"31",2007,25222,NA,25222,25122,NA,25122,20683,1590,22273,22273,22273,2607,2607
"32",2008,223911,NA,223911,193739,NA,193739,161343,3991,165334,165334,165334,28340,28340
"33",2009,186166,NA,186166,162830,NA,162830,133106,1831,134937,134937,134937,16034,16034
"34",2010,406925,NA,406925,338310,NA,338310,295638,NA,295638,291764,291764,35821,35821
"35",2011,194571,NA,194571,146111,NA,146111,132096,NA,132096,111508,111508,18634,18634
"36",2012,544106,NA,544106,410620,NA,410620,363314,NA,363314,326107,326107,66520,66520
"37",2013,197737,NA,197737,159208,NA,159208,131655,NA,131655,129993,129993,29015,29015
"38",2014,655983,NA,655983,581121,NA,581121,492892,NA,492892,490804,490804,99901,99901
"39",2015,545156,NA,545156,264678,NA,264678,216389,NA,216389,187055,187055,51566,51566
"40",2016,357826,NA,357826,310341,NA,310341,235925,NA,235925,216036,216036,73697,73697
"41",2017,89955,NA,89955,73218,NA,73218,46701,NA,46701,42299,42299,23854,23854
"42",2018,198150,NA,198150,172009,NA,172009,162684,NA,162684,153637,153637,13973,13973
"43",2019,66279,NA,66279,58562,NA,58562,50464,NA,50464,49862,49862,8877,8877
"44",2020,357555,NA,357555,280440,NA,280440,249521,NA,249521,226107,226107,43391,43391
"45",2021,161564,NA,161564,109367,NA,109367,82643,NA,82643,76255,76255,30826,30826
"46",2022,696983,NA,696983,659933,NA,659933,562721,NA,562721,478418,478418,110693,110693
"47",2023,344462,NA,344462,247772,NA,247772,149525,NA,149525,136956,136956,84473,84473
