"","Return_Year","RockI_Sockeye_adj","RRH_Sockeye_adj","Tum_Sockeye_adj","Wen_Stock_Comp_1","Ok_Stock_Comp_1","Wen_Stock_Comp_2","Wen_Stock_Comp_Best","Ok_Stock_Comp_Best","Stock_Comp_Total"
"1",1977,90261,28726,NA,0.68,0.32,0,0.68,0.32,1
"2",1978,14936,9351,NA,0.37,0.63,0,0.37,0.63,1
"3",1979,50583,32418,NA,0.36,0.64,0,0.36,0.64,1
"4",1980,52657,33495,NA,0.36,0.64,0,0.36,0.64,1
"5",1981,47139,34327,NA,0.27,0.73,0,0.27,0.73,1
"6",1982,41111,21514,NA,0.48,0.52,0,0.48,0.52,1
"7",1983,86424,31611,NA,0.63,0.37,0,0.63,0.37,1
"8",1984,109092,91753,NA,0.16,0.84,0,0.16,0.84,1
"9",1985,103200,60566,NA,0.41,0.59,0,0.41,0.59,1
"10",1986,49788,39380,NA,0.21,0.79,0,0.21,0.79,1
"11",1987,69868,46049,NA,0.34,0.66,0,0.34,0.66,1
"12",1988,49177,38463,NA,0.22,0.78,0,0.22,0.78,1
"13",1989,37360,18116,NA,0.52,0.48,0,0.52,0.48,1
"14",1990,44143,10412,NA,0.76,0.24,0,0.76,0.24,1
"15",1991,62118,31119,NA,0.5,0.5,0,0.5,0.5,1
"16",1992,68359,47489,NA,0.31,0.69,0,0.31,0.69,1
"17",1993,65630,31717,NA,0.52,0.48,0,0.52,0.48,1
"18",1994,10976,1886,NA,0.83,0.17,0,0.83,0.17,1
"19",1995,9462,5538,NA,0.41,0.59,0,0.41,0.59,1
"20",1996,29500,21741,NA,0.26,0.74,0,0.26,0.74,1
"21",1997,40375,30661,NA,0.24,0.76,0,0.24,0.76,1
"22",1998,9367,5988,NA,0.36,0.64,0,0.36,0.64,1
"23",1999,18371,14111,1172,0.23,0.77,0.06,0.23,0.77,1
"24",2000,76512,59944,20979,0.22,0.78,0.27,0.27,0.73,1
"25",2001,104840,74486,32633,0.29,0.71,0.31,0.31,0.69,1
"26",2002,44319,12373,27821,0.72,0.28,0.63,0.72,0.28,1
"27",2003,34779,30355,5074,0.13,0.87,0.15,0.15,0.85,1
"28",2004,106666,81338,33167,0.24,0.76,0.31,0.31,0.69,1
"29",2005,71226,55570,14218,0.22,0.78,0.2,0.22,0.78,1
"30",2006,35132,25377,9657,0.28,0.72,0.27,0.28,0.72,1
"31",2007,25122,22273,2607,0.11,0.89,0.1,0.11,0.89,1
"32",2008,193739,165334,28340,0.15,0.85,0.15,0.15,0.85,1
"33",2009,162830,134937,16034,0.17,0.83,0.1,0.17,0.83,1
"34",2010,338310,295638,35821,0.13,0.87,0.11,0.13,0.87,1
"35",2011,146111,132096,18634,0.1,0.9,0.13,0.13,0.87,1
"36",2012,410620,363314,66520,0.12,0.88,0.16,0.16,0.84,1
"37",2013,159208,131655,29015,0.17,0.83,0.18,0.18,0.82,1
"38",2014,581121,492892,99901,0.15,0.85,0.17,0.17,0.83,1
"39",2015,264678,216389,51566,0.18,0.82,0.19,0.19,0.81,1
"40",2016,310341,235925,73697,0.24,0.76,0.24,0.24,0.76,1
"41",2017,73218,46701,23854,0.36,0.64,0.33,0.36,0.64,1
"42",2018,172009,162684,13973,0.05,0.95,0.08,0.08,0.92,1
"43",2019,58562,50464,8877,0.14,0.86,0.15,0.15,0.85,1
"44",2020,280440,249521,43391,0.11,0.89,0.15,0.15,0.85,1
"45",2021,109367,82643,30826,0.24,0.76,0.28,0.28,0.72,1
"46",2022,659933,562721,110693,0.15,0.85,0.17,0.17,0.83,1
"47",2023,247772,149525,84473,0.4,0.6,0.34,0.4,0.6,1
