ret_year,b_year,s_year,age,ac_fryer,ac_sire
1980,1977,1979,1.1,NA,0.052
1981,1978,1980,1.1,NA,0.052
1982,1979,1981,1.1,NA,0.052
1983,1980,1982,1.1,NA,0.052
1984,1981,1983,1.1,NA,0.052
1985,1982,1984,1.1,0.069,0.052
1986,1983,1985,1.1,0.052,0.052
1987,1984,1986,1.1,0.492,0.052
1988,1985,1987,1.1,0.002,0.002
1989,1986,1988,1.1,0.03,0.033
1990,1987,1989,1.1,0.452,0.581
1991,1988,1990,1.1,0.154,0.145
1992,1989,1991,1.1,0.169,0.182
1993,1990,1992,1.1,0,0
1994,1991,1993,1.1,0.143,0.052
1995,1992,1994,1.1,0.414,0.052
1996,1993,1995,1.1,0.076,0.076
1997,1994,1996,1.1,0,0.052
1998,1995,1997,1.1,0.053,0.052
1999,1996,1998,1.1,0.114,0.052
2000,1997,1999,1.1,0.13,0
2001,1998,2000,1.1,0.026,0.033
2002,1999,2001,1.1,0.02,0.112
2003,2000,2002,1.1,0.274,0.055
2004,2001,2003,1.1,0.031,0.026
2005,2002,2004,1.1,0.015,0.004
2006,2003,2005,1.1,0.008,0.002
2007,2004,2006,1.1,0.424,0.246
2008,2005,2007,1.1,0.074,0.04
2009,2006,2008,1.1,0.125,0.024
2010,2007,2009,1.1,0.018,0.007
2011,2008,2010,1.1,0.261,0.153
2012,2009,2011,1.1,0.017,0.003
2013,2010,2012,1.1,0.235,0.18
2014,2011,2013,1.1,0.175,0.07
2015,2012,2014,1.1,0.001,0
2016,2013,2015,1.1,0.009,0.01
2017,2014,2016,1.1,0.19,0.084
2018,2015,2017,1.1,0.004,0.002
2019,2016,2018,1.1,0.543,0.167
2020,2017,2019,1.1,0.009,0.012
2021,2018,2020,1.1,0.253,0.199
2022,2019,2021,1.1,0.02,NA
1980,1976,1978,1.2,NA,0.826
1981,1977,1979,1.2,NA,0.826
1982,1978,1980,1.2,NA,0.826
1983,1979,1981,1.2,NA,0.826
1984,1980,1982,1.2,NA,0.826
1985,1981,1983,1.2,0.88,0.825
1986,1982,1984,1.2,0.825,0.826
1987,1983,1985,1.2,0.46,0.825
1988,1984,1986,1.2,0.969,0.962
1989,1985,1987,1.2,0.932,0.929
1990,1986,1988,1.2,0.262,0.251
1991,1987,1989,1.2,0.76,0.784
1992,1988,1990,1.2,0.733,0.722
1993,1989,1991,1.2,0.886,0.897
1994,1990,1992,1.2,0.126,0.825
1995,1991,1993,1.2,0.515,0.825
1996,1992,1994,1.2,0.859,0.859
1997,1993,1995,1.2,0.957,0.825
