"","Year","prop_age_1.1","prop_age_1.2","prop_age_2.1","prop_age_1.3","prop_age_2.2","prop_age_2.3","prop_age_3.1","prop_age_3.2","prop_age_3.3","prop_age_4.1","Other","TOTAL","Sample_Size","Confirmed","Source","Age_Method","Notes"
"1",1985,0.069,0.88,0.011,0.006,0.034,0,NA,NA,NA,NA,NA,"1",175,NA,NA,"Deadpitch on SG",NA
"2",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",0,NA,NA,"Multi-year average","Based on what years?"
"3",1987,0.492,0.46,0.01,0.028,0.01,0,NA,NA,NA,NA,NA,"1",508,NA,NA,"Deadpitch on SG?",NA
"4",1988,0.00199,0.96853,0.01037,0.01273,0.00638,0,NA,NA,NA,NA,NA,"1",195,NA,NA,"Deadpitch on SG",NA
"5",1989,0.03019,0.9312,0.00597,0.02738,0.00526,0,NA,NA,NA,NA,NA,"1",451,NA,NA,"SPA - Mixed Stock?",NA
"6",1990,0.45208,0.26189,0.01884,0.22627,0.03506,0.00585,NA,NA,NA,NA,NA,"1",406,NA,NA,"SPA - Mixed Stock?",NA
"7",1991,0.1542,0.75978,0.06678,0.01482,0.00147,0.00294,NA,NA,NA,NA,NA,"1",473,NA,NA,"SPA - Mixed Stock?",NA
"8",1992,0.1688,0.73347,0.06995,0.01362,0.0142,0,NA,NA,NA,NA,NA,"1",688,NA,NA,"SPA - Mixed Stock?",NA
"9",1993,0,0.88654,0.00184,0.05258,0.05665,0.00239,NA,NA,NA,NA,NA,"1",523,NA,NA,"SPA - Mixed Stock?",NA
"10",1994,0.14294,0.12612,0.01565,0.69848,0.01681,0,NA,NA,NA,NA,NA,"1",99,NA,NA,"SPA - Mixed Stock?",NA
"11",1995,0.41304347826087,0.514492753623188,0.0579710144927536,0.0144927536231884,0,0,NA,NA,NA,NA,NA,"1",138,NA,NA,"SPA - Mixed Stock?",NA
"12",1996,0.0756013745704467,0.859106529209622,0,0.0378006872852234,0.0274914089347079,0,NA,NA,NA,NA,NA,"1",291,NA,NA,"SPA - Mixed Stock?",NA
"13",1997,0,0.956896551724138,0.00862068965517241,0.0344827586206897,0,0,NA,NA,NA,NA,NA,"1",116,NA,NA,"SPA - Mixed Stock?",NA
"14",1998,0.0526315789473684,0.789473684210526,NA,0.157894736842105,NA,0,NA,NA,NA,NA,NA,"1",296,NA,"Microsoft Word - 98.doc (critfc.org)","SPA - Mixed Stock Adjusted?","Mixed stock (BON) age comp in report is quite different -- 22% 1.1; 10% 1.2; 1% 2.1; 57% 1.3; 9% 2.2; 1% 2.3."
"15",1999,0.114,0.849,0.037,0,0,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,"SPA - Mixed Stock Adjusted?",NA
"16",2000,0.13,0.84,0.01,0.01,0.01,0,NA,NA,NA,NA,NA,"1",502,NA,NA,"SPA - Mixed Stock Adjusted?",NA
"17",2001,0.026,0.946,0.003,0.022,0.003,0,NA,NA,NA,NA,NA,"1",816,2024-05-28,"Annual Bonneville Sampling Report (critfc.org)","SPA - Mixed Stock Adjusted?","Different age comp from mixed stock report (due to limited SPA and subj. assignment as described below)"
"18",2002,0.013,0.497,0.013,0.148,0.221,0.00699999999999999,0.007,0.094,NA,NA,NA,"1",497,2024-05-28,"Annual Bonneville Sampling Report (critfc.org)","SPA - Mixed Stock Adjusted?",NA
"19",2003,0.273824212375445,0.489801177459896,0.0533127444026282,0.019,0.00821292812486939,0.009,0.07,0.028,0.001,0.048,NA,"1",373,2024-05-28,"Annual Bonneville Sampling Report (critfc.org)","SPA - Mixed Stock Adjusted?","Different age comp from report (due to limited SPA and subj. assignment of 1.1 and 2.1 to OKA, and larger fish to WEN?) Mixed stock SPA, but %OKA = 86%; Report indicates 1.1: 0.254 1.2: 0.324 2.1: 0.060 1.3 0.152 2.2: 0.001 3.1: 0.125 2.3: 0.009 3.2: 0.028 4.1: 0.048 3.3: 0.001"
