"","return_year","age_class","CRITFC_prop_at_age","CRITFC_method","ONA_prop_at_age","ONA_method"
"1",1980,"prop_age_1.1",NA,NA,0.0520520520520521,"MultiYearAvg"
"2",1980,"prop_age_1.2",NA,NA,0.825825825825826,"MultiYearAvg"
"3",1980,"prop_age_1.3",NA,NA,0.0830830830830831,"MultiYearAvg"
"4",1980,"prop_age_2.1",NA,NA,0.023023023023023,"MultiYearAvg"
"5",1980,"prop_age_2.2",NA,NA,0.016016016016016,"MultiYearAvg"
"6",1981,"prop_age_1.1",NA,NA,0.0520520520520521,"MultiYearAvg"
"7",1981,"prop_age_1.2",NA,NA,0.825825825825826,"MultiYearAvg"
"8",1981,"prop_age_1.3",NA,NA,0.0830830830830831,"MultiYearAvg"
"9",1981,"prop_age_2.1",NA,NA,0.023023023023023,"MultiYearAvg"
"10",1981,"prop_age_2.2",NA,NA,0.016016016016016,"MultiYearAvg"
"11",1982,"prop_age_1.1",NA,NA,0.0520520520520521,"MultiYearAvg"
"12",1982,"prop_age_1.2",NA,NA,0.825825825825826,"MultiYearAvg"
"13",1982,"prop_age_1.3",NA,NA,0.0830830830830831,"MultiYearAvg"
"14",1982,"prop_age_2.1",NA,NA,0.023023023023023,"MultiYearAvg"
"15",1982,"prop_age_2.2",NA,NA,0.016016016016016,"MultiYearAvg"
"16",1983,"prop_age_1.1",NA,NA,0.0520520520520521,"MultiYearAvg"
"17",1983,"prop_age_1.2",NA,NA,0.825825825825826,"MultiYearAvg"
"18",1983,"prop_age_1.3",NA,NA,0.0830830830830831,"MultiYearAvg"
"19",1983,"prop_age_2.1",NA,NA,0.023023023023023,"MultiYearAvg"
"20",1983,"prop_age_2.2",NA,NA,0.016016016016016,"MultiYearAvg"
"21",1984,"prop_age_1.1",NA,NA,0.0520520520520521,"MultiYearAvg"
"22",1984,"prop_age_1.2",NA,NA,0.825825825825826,"MultiYearAvg"
"23",1984,"prop_age_1.3",NA,NA,0.0830830830830831,"MultiYearAvg"
"24",1984,"prop_age_2.1",NA,NA,0.023023023023023,"MultiYearAvg"
"25",1984,"prop_age_2.2",NA,NA,0.016016016016016,"MultiYearAvg"
"26",1985,"prop_age_1.1","0.069","Deadpitch on SG",NA,NA
