"","return_year","prop_Fryer","prop_SIRE","Age","best_source","Comments"
"1",1980,NA,0.052,1.1,"SiRE MultiYr","Use SIRE default age comp"
"2",1980,NA,0.825,1.2,"SiRE MultiYr","Use SIRE default age comp"
"3",1980,NA,0.083,1.3,"SiRE MultiYr","Use SIRE default age comp"
"4",1980,NA,0.023,2.1,"SiRE MultiYr","Use SIRE default age comp"
"5",1980,NA,0.016,2.2,"SiRE MultiYr","Use SIRE default age comp"
"6",1981,NA,0.052,1.1,"SiRE MultiYr","Use SIRE default age comp"
"7",1981,NA,0.825,1.2,"SiRE MultiYr","Use SIRE default age comp"
"8",1981,NA,0.083,1.3,"SiRE MultiYr","Use SIRE default age comp"
"9",1981,NA,0.023,2.1,"SiRE MultiYr","Use SIRE default age comp"
"10",1981,NA,0.016,2.2,"SiRE MultiYr","Use SIRE default age comp"
"11",1982,NA,0.052,1.1,"SiRE MultiYr","Use SIRE default age comp"
"12",1982,NA,0.825,1.2,"SiRE MultiYr","Use SIRE default age comp"
"13",1982,NA,0.083,1.3,"SiRE MultiYr","Use SIRE default age comp"
"14",1982,NA,0.023,2.1,"SiRE MultiYr","Use SIRE default age comp"
"15",1982,NA,0.016,2.2,"SiRE MultiYr","Use SIRE default age comp"
"16",1983,NA,0.052,1.1,"SiRE MultiYr","Use SIRE default age comp"
"17",1983,NA,0.825,1.2,"SiRE MultiYr","Use SIRE default age comp"
"18",1983,NA,0.083,1.3,"SiRE MultiYr","Use SIRE default age comp"
"19",1983,NA,0.023,2.1,"SiRE MultiYr","Use SIRE default age comp"
"20",1983,NA,0.016,2.2,"SiRE MultiYr","Use SIRE default age comp"
"21",1984,NA,0.052,1.1,"SiRE MultiYr","Use SIRE default age comp"
"22",1984,NA,0.825,1.2,"SiRE MultiYr","Use SIRE default age comp"
"23",1984,NA,0.083,1.3,"SiRE MultiYr","Use SIRE default age comp"
"24",1984,NA,0.023,2.1,"SiRE MultiYr","Use SIRE default age comp"
"25",1984,NA,0.016,2.2,"SiRE MultiYr","Use SIRE default age comp"
"26",1985,0.069,0.052,1.1,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"27",1985,0.88,0.825,1.2,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"28",1985,0.006,0.083,1.3,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"29",1985,0.011,0.023,2.1,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"30",1985,0.034,0.016,2.2,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"31",1986,0.052,0.052,1.1,"SiRE MultiYr","no age comp data - multi-year mean applied"
"32",1986,0.825,0.825,1.2,"SiRE MultiYr","no age comp data - multi-year mean applied"
"33",1986,0.083,0.083,1.3,"SiRE MultiYr","no age comp data - multi-year mean applied"
"34",1986,0.023,0.023,2.1,"SiRE MultiYr","no age comp data - multi-year mean applied"
"35",1986,0.016,0.016,2.2,"SiRE MultiYr","no age comp data - multi-year mean applied"
"36",1987,0.492,0.052,1.1,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"37",1987,0.46,0.825,1.2,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"38",1987,0.028,0.083,1.3,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"39",1987,0.01,0.023,2.1,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"40",1987,0.01,0.016,2.2,"CRITFC","Fryer thesis: freshwater aged, marine ages based on length"
"41",1988,0.002,0.00210526315789474,1.1,"CRITFC","Fryer pers. data; Schwartzberg and Fryer 1989"
"42",1988,0.969,0.962105263157895,1.2,"CRITFC","Fryer pers. data; Schwartzberg and Fryer 1991"
"43",1988,0.013,0.0168421052631579,1.3,"CRITFC","Fryer pers. data; Schwartzberg and Fryer 1993"
"44",1988,0.01,0.0126315789473684,2.1,"CRITFC","Fryer pers. data; Schwartzberg and Fryer 1990"
"45",1988,0.006,0.00631578947368421,2.2,"CRITFC","Fryer pers. data; Schwartzberg and Fryer 1992"
"46",1989,0.03,0.0332594235033259,1.1,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1990"
"47",1989,0.931,0.929046563192905,1.2,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1990"
"48",1989,0.027,0.0266075388026608,1.3,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1990"
"49",1989,0.006,0.00665188470066519,2.1,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1990"
"50",1989,0.005,0.00443458980044346,2.2,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1990"
"51",1990,0.452,0.58128078817734,1.1,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1991"
"52",1990,0.262,0.251231527093596,1.2,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1991"
"53",1990,0.226,0.105911330049261,1.3,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1991"
"54",1990,0.019,0.0246305418719212,2.1,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1991"
"55",1990,0.035,0.0295566502463054,2.2,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1991"
"56",1990,0.006,0.00566502463054187,2.3,"CRITFC","Fryer pers. data: Fryer and Schwartzberg 1991"
"57",1991,0.154,0.144970414201183,1.1,"CRITFC","Fryer pers data; Fryer et al 1992"
"58",1991,0.76,0.784023668639053,1.2,"CRITFC","Fryer pers data; Fryer et al 1992"
"59",1991,0.015,0.0177514792899408,1.3,"CRITFC","Fryer pers data; Fryer et al 1992"
"60",1991,0.067,0.0502958579881657,2.1,"CRITFC","Fryer pers data; Fryer et al 1992"
"61",1991,0.001,0.0029585798816568,2.2,"CRITFC","Fryer pers data; Fryer et al 1992"
"62",1991,0.003,0.0177514792899408,2.3,"CRITFC","Fryer pers data; Fryer et al 1992"
"63",1992,0.169,0.182,1.1,"CRITFC","Fryer personal data; Fryer and Schwartzberg 1993"
"64",1992,0.733,0.722,1.2,"CRITFC","Fryer personal data; Fryer and Schwartzberg 1993"
"65",1992,0.014,0.016,1.3,"CRITFC","Fryer personal data; Fryer and Schwartzberg 1993"
"66",1992,0.07,0.069,2.1,"CRITFC","Fryer personal data; Fryer and Schwartzberg 1993"
"67",1992,0.014,0.011,2.2,"CRITFC","Fryer personal data; Fryer and Schwartzberg 1993"
"68",1993,0,0,1.1,"CRITFC","Jeff Fryer, pers.data & Fryer & Schwartzberg 1994"
"69",1993,0.887,0.897,1.2,"CRITFC","Jeff Fryer, pers.data & Fryer & Schwartzberg 1994"
"70",1993,0.053,0.048,1.3,"CRITFC","Jeff Fryer, pers.data & Fryer & Schwartzberg 1994"
"71",1993,0.002,0.004,2.1,"CRITFC","Jeff Fryer, pers.data & Fryer & Schwartzberg 1994"
"72",1993,0.057,0.05,2.2,"CRITFC","Jeff Fryer, pers.data & Fryer & Schwartzberg 1994"
"73",1993,0.002,0.002,2.3,"CRITFC","Jeff Fryer, pers.data & Fryer & Schwartzberg 1994"
"74",1994,0.143,0.052,1.1,"CRITFC",NA
"75",1994,0.126,0.825,1.2,"CRITFC",NA
"76",1994,0.698,0.083,1.3,"CRITFC",NA
"77",1994,0.016,0.023,2.1,"CRITFC",NA
"78",1994,0.017,0.016,2.2,"CRITFC",NA
"79",1995,0.413,0.052,1.1,"CRITFC",NA
"80",1995,0.514,0.825,1.2,"CRITFC",NA
"81",1995,0.013,0.083,1.3,"CRITFC",NA
"82",1995,0.058,0.023,2.1,"CRITFC",NA
"83",1995,0,0.016,2.2,"CRITFC",NA
"84",1996,0.076,0.052,1.1,"CRITFC","Fryer: pers data (Wells Dam)) used for SIRE age comps"
"85",1996,0.859,0.825,1.2,"CRITFC","Fryer: pers data (Wells Dam)) used for SIRE age comps"
"86",1996,0.038,0.083,1.3,"CRITFC","Fryer: pers data (Wells Dam)) used for SIRE age comps"
"87",1996,0,0.023,2.1,"CRITFC","Fryer: pers data (Wells Dam)) used for SIRE age comps"
"88",1996,0.027,0.016,2.2,"CRITFC","Fryer: pers data (Wells Dam)) used for SIRE age comps"
"89",1997,0,0.052,1.1,"CRITFC",NA
"90",1997,0.957,0.825,1.2,"CRITFC",NA
"91",1997,0.034,0.083,1.3,"CRITFC",NA
"92",1997,0.009,0.023,2.1,"CRITFC",NA
"93",1997,0,0.016,2.2,"CRITFC",NA
"94",1998,0.053,0.052,1.1,"CRITFC",NA
"95",1998,0.789,0.825,1.2,"CRITFC",NA
"96",1998,0.158,0.083,1.3,"CRITFC",NA
"97",1998,0,0.023,2.1,"CRITFC",NA
"98",1998,0,0.016,2.2,"CRITFC",NA
"99",1999,0.114,0.052,1.1,"CRITFC",NA
"100",1999,0.849,0.825,1.2,"CRITFC",NA
"101",1999,0,0.083,1.3,"CRITFC",NA
"102",1999,0.038,0.023,2.1,"CRITFC",NA
"103",1999,0,0.016,2.2,"CRITFC",NA
"104",2000,0.13,0,1.1,"CRITFC","SIRE =  Sp/Grd but may be brood-stock removals [hs 10/21/2020]"
"105",2000,0.84,0.979,1.2,"CRITFC","CRITFC = Fryer & Kelsey 2001 (CRITFC 01-2) (Wells Dam, Table 3)"
"106",2000,0.01,0,1.3,"CRITFC",NA
"107",2000,0.01,0,2.1,"CRITFC",NA
"108",2000,0.01,0.0208,2.2,"CRITFC",NA
"109",2001,0.026,0.033,1.1,"SiRE","SIRE = spawning grounds; Wells = 0.031 CRITFC 02_02 Table 3"
"110",2001,0.946,0.944,1.2,"SiRE","spawning grounds; Wells = 0.940"
"111",2001,0.02,0.022,1.3,"SiRE","spawning grounds; Wells = 0.020"
"112",2001,0.003,0.00049,2.1,"SiRE","spawning grounds; Wells = 0.006"
"113",2001,0.003,0.00049,2.2,"SiRE","spawning grounds; Wells = 0.003"
"114",2002,0.02,0.091,1.1,"CRITFC","Use Fryer; SIRE = spawning grounds no 53s; Wells = 0.015"
"115",2002,0.497,0.554,1.2,"CRITFC","Use Fryer; SIRE = spawning grounds no 53s; Wells = 0.441"
"116",2002,0.148,0.354,1.3,"CRITFC","Use Fryer; SIRE = spawning grounds no 53s; Wells = 0.160"
"117",2002,0.013,0,2.1,"CRITFC","Use Fryer; SIRE = spawning grounds no 53s; Wells = 0.015"
"118",2002,0.221,0,2.2,"CRITFC","Use Fryer; SIRE = spawning grounds no 53s; Wells = 0.236"
"119",2002,0.101,NA,2.3,"CRITFC",NA
"120",2003,0.274,0.27,1.1,"CRITFC","SIRE = Broodstock (hatchery highgrading?), use Fryer"
"121",2003,0.49,0.517,1.2,"CRITFC",NA
"122",2003,0.019,0.125,1.3,"CRITFC","Fryer age 1.3 comp (0.4%) is quite low relative to spawning ground data; Fryer age comp only adds up to 98.5%, so adding 1.5% to age 1.3 composition [2022-10-30]"
"123",2003,0.053,0.051,2.1,"CRITFC",NA
"124",2003,0.008,0,2.2,"CRITFC",NA
"125",2003,0.009,NA,2.3,"CRITFC","check age comp for 2003 with Jeff? DONE [10/21/2020]"
"126",2003,0.07,NA,3.1,"CRITFC",NA
"127",2003,0.028,NA,3.2,"CRITFC","a lot of older fish"
"128",2003,0.001,NA,3.3,"CRITFC",NA
"129",2003,0.048,NA,4.1,"CRITFC",NA
"130",2004,0.031,0.0263653483992467,1.1,"CRITFC","SIRE = broodstock?  Wells = 0.016, Use Fryer"
"131",2004,0.934,0.952919020715631,1.2,"CRITFC","broodstock; Wells = 0.951"
"132",2004,0,0.0188323917137476,1.3,"CRITFC","broodstock; Wells = na"
"133",2004,0.003,0,2.1,"CRITFC","broodstock; Wells = 0.001"
"134",2004,0.015,0.00188323917137476,2.2,"CRITFC","broodstock; Wells = 0.017"
"135",2004,0,NA,2.3,"CRITFC",NA
"136",2004,0.018,NA,3.1,"CRITFC",NA
"137",2005,0.015,0.03649635,1.1,"CRITFC","broodstock: Wells = 0.015"
