"","return_year","tot_bonn_16hr","total_sockeye_snake","ok_stock_comp_percent_best","total_comm_harvest_below_bonn"
"1",1977,99829,458,0.32,NA
"2",1978,18436,123,0.63,NA
"3",1979,52628,25,0.64,NA
"4",1980,58882,107,0.64,4
"5",1981,56037,236,0.73,0
"6",1982,50219,257,0.52,100
"7",1983,100527,241,0.37,83
"8",1984,152545,149,0.84,9345
"9",1985,166340,59,0.59,32213
"10",1986,58123,24,0.79,1840
"11",1987,116993,55,0.66,28553
"12",1988,79714,45,0.78,17632
"13",1989,41884,4,0.42,36
"14",1990,49581,1,0.24,173
"15",1991,76481,10,0.5,3
"16",1992,84992,35,0.69,8
"17",1993,80178,18,0.48,64
"18",1994,12678,5,0.17,1
"19",1995,8774,5,0.59,1
"20",1996,30232,3,0.74,25
"21",1997,47008,16,0.74,12
"22",1998,13218,4,0.57,2
"23",1999,17877,15,0.91,1
"24",2000,93398,365,0.76,366
"25",2001,114934,41,0.69,1691
"26",2002,49610,64,0.28,19
"27",2003,39291,40,0.86,0
"28",2004,123291,118,0.71,672
"29",2005,72971,19,0.78,4
"30",2006,37066,51,0.72,1
"31",2007,24376,58,0.89,0
"32",2008,213607,890,0.85,858
"33",2009,177823,1414,0.83,1129
"34",2010,386525,1861,0.87,1604
"35",2011,185796,1561,0.88,1569
"36",2012,515673,512,0.84,4595
"37",2013,185505,1011,0.82,676
"38",2014,614179,2523,0.83,1348
"39",2015,510706,1749,0.81,1746
"40",2016,342498,946,0.76,1807
"41",2017,87693,444,0.64,570
"42",2018,193816,297,0.92,151
"43",2019,63046,335,0.85,41
"44",2020,341739,750,0.85,3279
"45",2021,151765,952,0.72,557
"46",2022,663253,2329,0.83,1681
"47",2023,327600,1999,0.6,1440
