"","return_year","tot_bonn_16hr","total_sockeye_snake","total_comm_harvest_below_bonn","total_sockeye_rock_i_24_hr","total_sockeye_rrh_24_hour","total_sockeye_tum_24_hour","ok_stock_comp_percent_best","wen_stock_comp_percent_best","sum_stock_comp_percent_best"
"1",1977,99829,458,0,90261,28726,0,0.32,0.68,1
"2",1978,18436,123,0,14936,9351,0,0.63,0.37,1
"3",1979,52628,25,0,50583,32418,0,0.64,0.36,1
"4",1980,58882,107,4,52657,33495,0,0.64,0.36,1
"5",1981,56037,236,0,47139,34327,0,0.73,0.27,1
"6",1982,50219,257,100,41111,21514,0,0.52,0.48,1
"7",1983,100527,241,83,86424,31611,0,0.37,0.63,1
"8",1984,152545,149,9345,109092,91753,0,0.84,0.16,1
"9",1985,166340,59,32213,103200,60566,0,0.59,0.41,1
"10",1986,58123,24,1840,49788,39380,0,0.79,0.21,1
"11",1987,116993,55,28553,69868,46049,0,0.66,0.34,1
"12",1988,79714,45,17632,49177,38463,0,0.78,0.22,1
"13",1989,41884,4,36,37360,18116,21802,0.42,0.58,1
"14",1990,49581,1,173,44143,10412,27325,0.24,0.76,1
"15",1991,76481,10,3,62119,31119,26689,0.5,0.5,1
"16",1992,84992,35,8,68359,47489,16461,0.69,0.31,1
"17",1993,80178,18,64,65630,31717,25056,0.48,0.52,1
"18",1994,12678,5,1,11367,1886,6931,0.17,0.83,1
"19",1995,8774,5,1,9462,5538,3261,0.59,0.41,1
"20",1996,30232,3,25,29500,21741,6160,0.74,0.26,1
"21",1997,47008,16,12,41504,30661,9592,0.74,0.26,1
"22",1998,13218,4,2,9334,5988,3984,0.57,0.43,1
"23",1999,17877,15,1,18371,14111,908,0.77,0.23,1
"24",2000,93398,365,366,76512,59944,18390,0.76,0.24,1
"25",2001,114934,41,1691,104840,74486,32554,0.69,0.31,1
"26",2002,49610,64,19,44320,12373,27241,0.28,0.72,1
"27",2003,39291,40,0,34779,30355,4699,0.86,0.14,1
"28",2004,123291,118,672,106666,81338,31409,0.71,0.29,1
"29",2005,72971,19,4,71226,55570,14176,0.78,0.22,1
"30",2006,37066,51,1,35132,25377,9150,0.72,0.28,1
"31",2007,24376,58,0,25122,22273,2542,0.89,0.11,1
"32",2008,213607,890,858,193739,165334,28240,0.85,0.15,1
"33",2009,177823,1414,1129,162830,134937,15502,0.83,0.17,1
"34",2010,386525,1861,1604,338310,295638,34519,0.87,0.13,1
"35",2011,185796,1561,1569,146111,132096,17680,0.88,0.12,1
"36",2012,515673,512,4595,410620,363314,65448,0.84,0.16,1
"37",2013,185505,1011,676,159219,131660,28245,0.82,0.18,1
"38",2014,614179,2523,1348,581121,492892,97672,0.83,0.17,1
"39",2015,510706,1749,1746,264678,216389,49779,0.81,0.19,1
"40",2016,342498,946,1807,310341,235925,73619,0.76,0.24,1
"41",2017,87693,444,570,73218,46701,23845,0.64,0.36,1
"42",2018,193816,297,151,172009,162684,13976,0.92,0.08,1
"43",2019,63046,335,41,58562,50464,8877,0.85,0.15,1
"44",2020,341739,750,3279,280440,249521,43391,0.85,0.15,1
"45",2021,151765,952,557,109367,82643,30826,0.72,0.28,1
"46",2022,663253,2329,1681,659933,562721,135837,0.79,0.21,1
"47",2023,327600,1999,1440,247772,149525,84473,0.6,0.4,1
