year,ONA,location,reach,FLcm,POHcm,weight_g,sex,thermal,age,source,ymd,doy,flreg,fish,total_age
2011,70050,penticton channel,,40.8,,534,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,40.8,sockeye,3
2011,70051,penticton channel,,24.7,,149.2,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.7,kokanee,3
2011,70052,penticton channel,,24.8,,135.2,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.8,kokanee,3
2011,70053,penticton channel,,26.5,,192.3,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,26.5,kokanee,3
2011,70054,penticton channel,,23.8,,130.2,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.8,kokanee,3
2011,70055,penticton channel,,24.6,,138.3,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.6,kokanee,3
2011,70056,penticton channel,,24.7,,152.4,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.7,kokanee,3
2011,70057,penticton channel,,24,,145.7,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24,kokanee,3
2011,70058,penticton channel,,24.7,,145,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.7,kokanee,3
2011,70059,penticton channel,,52,,999.6,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,52,sockeye,3
2011,70060,penticton channel,,,,100,f,unknown,2,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,,unknown,2
2011,70061,penticton channel,,23.6,,109.8,f,unknown,2,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.6,kokanee,2
2011,70062,penticton channel,,24.1,,153.9,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.1,kokanee,3
2011,70063,penticton channel,,23.9,,125.6,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.9,kokanee,3
2011,70064,penticton channel,,23.7,,110.1,f,unknown,2,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.7,kokanee,2
2011,70065,penticton channel,,24.5,,128,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.5,kokanee,3
2011,70066,penticton channel,,25.6,,178.9,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,25.6,kokanee,3
2011,70067,penticton channel,,25,,161.2,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,25,kokanee,3
2011,70068,penticton channel,,24.9,,136,f,unknown,2,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.9,kokanee,2
2011,70069,penticton channel,,24.2,,165.4,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.2,kokanee,3
2011,70070,penticton channel,,24.3,,152,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.3,kokanee,3
2011,70071,penticton channel,,24.5,,155.6,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.5,kokanee,3
2011,70072,penticton channel,,26.1,,197.6,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,26.1,kokanee,3
2011,70073,penticton channel,,24,,127.1,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24,kokanee,3
2011,70074,penticton channel,,24.6,,154,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.6,kokanee,3
2011,70075,penticton channel,,25.2,,168.7,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,25.2,kokanee,3
2011,70076,penticton channel,,23.6,,124.3,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.6,kokanee,3
2011,70077,penticton channel,,23.9,,135.6,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.9,kokanee,3
2011,70078,penticton channel,,25,,131.8,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,25,kokanee,3
2011,70079,penticton channel,,23.5,,119.1,f,unknown,2,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.5,kokanee,2
2011,70080,penticton channel,,23.8,,156,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.8,kokanee,3
2011,70081,penticton channel,,24.1,,130.6,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.1,kokanee,3
2011,70082,penticton channel,,25.6,,155.7,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,25.6,kokanee,3
2011,70083,penticton channel,,24.1,,142.3,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.1,kokanee,3
2011,70084,penticton channel,,24.9,,159.1,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.9,kokanee,3
2011,70085,penticton channel,,,,113.2,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,,unknown,3
2011,70086,penticton channel,,23.8,,156.5,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23.8,kokanee,3
2011,70087,penticton channel,,24.4,,135.8,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.4,kokanee,3
2011,70088,penticton channel,,24.6,,144.1,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,24.6,kokanee,3
2011,70089,penticton channel,,22.7,,132.5,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,22.7,kokanee,3
2011,70090,penticton channel,,23,,119.7,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/26/2011,299,23,kokanee,3
2011,70091,penticton channel,,52.5,,1231.4,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,52.5,sockeye,3
2011,70092,penticton channel,,58,,1777.2,m,unknown,4,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,58,sockeye,4
2011,70093,penticton channel,,50.6,,1111.1,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,50.6,sockeye,3
2011,70094,penticton channel,,28.3,,226.5,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,28.3,kokanee,3
2011,70095,penticton channel,,24.6,,162.3,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.6,kokanee,3
2011,70096,penticton channel,,23.6,,138.8,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.6,kokanee,3
2011,70097,penticton channel,,23.7,,111.9,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.7,kokanee,3
2011,70098,penticton channel,,30.2,,266.2,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,30.2,kokanee,3
2011,70099,penticton channel,,31.2,,319.4,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,31.2,kokanee,3
2011,70100,penticton channel,,23.6,,160.4,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.6,kokanee,3
2011,70101,penticton channel,,23.9,,134.9,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.9,kokanee,3
2011,70102,penticton channel,,25.9,,179.9,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,25.9,kokanee,3
2011,70103,penticton channel,,25.6,,183.3,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,25.6,kokanee,3
2011,70104,penticton channel,,23.5,,172.3,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.5,kokanee,3
2011,70105,penticton channel,,29.3,,259.1,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,29.3,kokanee,3
2011,70106,penticton channel,,24.9,,159.3,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.9,kokanee,3
2011,70107,penticton channel,,22.7,,119.4,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,22.7,kokanee,3
2011,70108,penticton channel,,24.7,,161,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.7,kokanee,3
2011,70109,penticton channel,,24.3,,173.5,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.3,kokanee,3
2011,70110,penticton channel,,24.3,,148.3,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.3,kokanee,3
2011,70111,penticton channel,,24.6,,142.6,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.6,kokanee,3
2011,70112,penticton channel,,24.7,,157,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.7,kokanee,3
2011,70113,penticton channel,,23.2,,142.9,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.2,kokanee,3
2011,70114,penticton channel,,24.7,,162.8,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.7,kokanee,3
2011,70115,penticton channel,,25,,176.6,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,25,kokanee,3
2011,70116,penticton channel,,24.4,,164.7,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.4,kokanee,3
2011,70117,penticton channel,,23.7,,137.6,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.7,kokanee,3
2011,70118,penticton channel,,24.5,,172.6,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.5,kokanee,3
2011,70119,penticton channel,,30.4,,340.6,m,unknown,4,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,30.4,kokanee,4
2011,70120,penticton channel,,24,,158.9,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24,kokanee,3
2011,70121,penticton channel,,23.8,,135.2,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.8,kokanee,3
2011,70122,penticton channel,,24.8,,170,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.8,kokanee,3
2011,70123,penticton channel,,29.4,,306.5,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,29.4,kokanee,3
2011,70124,penticton channel,,22.6,,123,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,22.6,kokanee,3
2011,70125,penticton channel,,23.3,,138.1,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.3,kokanee,3
2011,70126,penticton channel,,24,,132.6,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24,kokanee,3
2011,70127,penticton channel,,23.7,,155,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.7,kokanee,3
2011,70128,penticton channel,,23.9,,150.1,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.9,kokanee,3
2011,70129,penticton channel,,25,,153.4,f,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,25,kokanee,3
2011,70130,penticton channel,,24.8,,176.5,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,24.8,kokanee,3
2011,70131,penticton channel,,23.9,,148.9,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,23.9,kokanee,3
2011,70132,penticton channel,,25.6,,165.3,m,unknown,3,KO biosampling 2011 Pen Channel.xlsx,10/27/2011,300,25.6,kokanee,3
