"","brood_yr","propsox","spawners","sox_spawners","smolt_year","total_hsox","total_nsox","presmolts"
"1",2011,NA,NA,NA,2013,0,430066,430066
"2",2012,30,36648,10994,2014,0,114814,114814
"3",2013,30.3,29387,8904,2015,0,385308,385308
"4",2014,81.7,60647,49549,2016,455364,1043056,1498420
"5",2015,24,59405,14257,2017,124544,33082,157626
"6",2016,46.4,79424,36853,2018,455364,599368,1054732
"7",2017,58.7,46229,27136,2019,264656,690830,955486
"8",2018,68.3,60406,41257,2020,0,389200,389200
"9",2019,23.2,43859,10175,2021,114814,36974,151788
"10",2020,46.4,61140,28369,2022,173194,NA,173194
