"","rearing_lake","spawning_location","year","auc","spawning_nerkids","spawning_nerkids_note","spawning_sockeye","percent_35cm_fl"
"1","Osoyoos","Lower Ok River",2000,NA,21926,"Nerkids = Sockeye only",21926,0.004
"2","Osoyoos","Lower Ok River",2001,NA,39378,"Nerkids = Sockeye only",39378,0.009
"3","Osoyoos","Lower Ok River",2002,NA,4904,"Nerkids = Sockeye only",4904,0.274
"4","Osoyoos","Lower Ok River",2003,NA,17753,"Nerkids = Sockeye only",17753,0
"5","Osoyoos","Lower Ok River",2004,NA,41791,"Nerkids = Sockeye only",41791,0
"6","Osoyoos","Lower Ok River",2005,NA,31260,"Nerkids = Sockeye only",31260,0
"7","Osoyoos","Lower Ok River",2006,NA,20819,"Nerkids = Sockeye only",20819,0
"8","Osoyoos","Lower Ok River",2007,NA,13490,"Nerkids = Sockeye only",13490,0
"9","Osoyoos","Lower Ok River",2008,12396693,126972,"Nerkids = Sockeye only",126972,0
"10","Osoyoos","Lower Ok River",2009,704968,64088,"Nerkids = Sockeye only",64088,0.000998627
"11","Osoyoos","Lower Ok River",2010,2007362,182487,"Nerkids = Sockeye only",182487,0.002
"12","Osoyoos","Lower Ok River",2011,NA,34528,"Nerkids = Sockeye only",34528,0.006
"13","Osoyoos","Lower Ok River",2012,999484,90862,"Nerkids = Sockeye only",90862,0
"14","Osoyoos","Lower Ok River",2013,378835,34440,"Nerkids = Sockeye only",34440,0.018002323
"15","Osoyoos","Lower Ok River",2014,1597267,145206,"Nerkids = Sockeye only",145206,0
"16","Osoyoos","Lower Ok River",2015,112809,10255,"Nerkids = Sockeye only",10255,0
"17","Osoyoos","Lower Ok River",2016,600096,54554,"Nerkids = Sockeye only",54554,0.005004216
"18","Osoyoos","Lower Ok River",2017,110361,10033,"Nerkids = Sockeye only",10033,0.013953952
"19","Osoyoos","Lower Ok River",2018,338305,30755,"Nerkids = Sockeye only",30755,0
"20","Osoyoos","Lower Ok River",2019,143627,13057,"Nerkids = Sockeye only",13057,0.011028567
"21","Osoyoos","Lower Ok River",2020,513667,46697,"Nerkids = Sockeye only",46697,0.00400454
"22","Osoyoos","Lower Ok River",2021,117260,10660,"Nerkids = Sockeye only",10660,0.019043152
