ret_year,bradford_24hr,washington_24hr,bradford_16hr,washington_16hr,tot_24,tot_16,period
1994,NA,NA,NA,NA,13141,12666,0
1995,NA,NA,NA,NA,9075,8717,0
1996,NA,NA,NA,NA,31149,30208,0
1997,NA,NA,NA,NA,47951,46617,0
1998,NA,NA,NA,NA,13517,13127,0
1999,NA,NA,NA,NA,18242,17817,0
2000,NA,NA,NA,NA,97326,93192,0
2002,NA,NA,NA,NA,51109,49519,0
2013,67497,130240,63275,122163,197737,185438,1
2014,187058,468925,175091,439022,655983,614113,1
2015,174878,370278,163256,347406,545156,510662,1
2016,89595,268231,86274,256185,357826,342459,1
2017,42026,47929,40900,46706,89955,87606,1
2018,70902,127248,66507,127248,198150,193755,1
2019,18847,47432,17654,45392,66279,63046,1
2020,133827,223728,127824,213915,357555,341739,1
2021,51194,110370,47568,104197,161564,151765,1
2022,307283,389700,292581,370672,696983,663253,1
2023,141845,203278,136515,191085,345123,327600,new
2024,271055,524104,261588,494321,795159,755909,new
