"","Return_Year","Bonn_Sockeye_24hr","Bonn_Sockeye_adj","RockI_gt_Bonn_diff","RockI_Sockeye_24hr","RockI_Sockeye_adj","RRH_gt_RockI_diff","RRH_Sockeye_24hr","RRH_Sockeye_adj","Well_gt_RRH_diff","Wells_Sockeye_24hr","Wells_Sockeye_adj","Tum_Sockeye_24hr","Tum_Sockeye_adj"
"1",1977,104120,104120,NA,90261,90261,NA,28726,28726,NA,21973,21973,NA,NA
"2",1978,19049,19049,NA,14936,14936,NA,9351,9351,NA,7644,7644,NA,NA
"3",1979,54681,54681,NA,50583,50583,NA,32418,32418,NA,26655,26655,NA,NA
"4",1980,61218,61218,NA,52657,52657,NA,33495,33495,NA,26573,26573,NA,NA
"5",1981,58244,58244,NA,47139,47139,NA,34327,34327,NA,28234,28234,NA,NA
"6",1982,52164,52164,NA,41111,41111,NA,19464,19464,NA,19005,19005,NA,NA
"7",1983,104852,104852,NA,86424,86424,NA,29208,29208,NA,27925,27925,NA,NA
"8",1984,159537,159537,NA,109092,109092,NA,82085,82085,NA,81054,81054,NA,NA
"9",1985,174065,174065,NA,103200,103200,NA,60566,60566,NA,59984,59984,NA,NA
"10",1986,60424,60424,NA,49788,49788,NA,36857,36857,2523,39380,36857,NA,NA
"11",1987,122144,122144,NA,69868,69868,NA,46049,46049,NA,45416,45416,NA,NA
"12",1988,83025,83025,NA,49177,49177,NA,38180,38180,283,38463,38180,NA,NA
"13",1989,43462,43462,NA,37360,37360,NA,18116,18116,NA,18085,18085,NA,NA
"14",1990,51497,51497,NA,44143,44143,NA,10412,10412,NA,8613,8613,NA,NA
"15",1991,79638,79638,NA,62118,62118,NA,30733,30733,386,31119,30733,NA,NA
"16",1992,88557,88557,NA,68359,68359,NA,46820,46820,669,47489,46820,NA,NA
"17",1993,83512,83512,NA,65630,65630,NA,31717,31717,NA,31525,31525,NA,NA
"18",1994,13141,13141,NA,10976,10976,NA,1662,1662,224,1886,1662,NA,NA
"19",1995,9075,9075,387,9462,9075,NA,4988,4988,550,5538,4988,NA,NA
"20",1996,31149,31149,NA,29500,29500,NA,21741,21741,NA,20038,20038,NA,NA
"21",1997,47951,47951,NA,40375,40375,NA,30661,30661,NA,27871,27871,NA,NA
"22",1998,13517,13517,NA,9367,9367,NA,5988,5988,NA,4666,4666,NA,NA
"23",1999,18242,18242,129,18371,18242,NA,14111,14111,NA,12388,12388,1172,1172
"24",2000,97326,97326,NA,76512,76512,NA,57428,57428,2516,59944,57428,20979,20979
"25",2001,119981,119981,NA,104840,104840,NA,66220,66220,8266,74486,66220,32633,32633
"26",2002,51109,51109,NA,44319,44319,NA,12373,12373,NA,10659,10659,27821,27821
"27",2003,40757,40757,NA,34779,34779,NA,30355,30355,NA,29374,29374,5074,5074
"28",2004,128763,128763,NA,106666,106666,NA,81338,81338,NA,78053,78053,33167,33167
"29",2005,75962,75962,NA,71226,71226,NA,55570,55570,NA,55559,55559,14218,14218
"30",2006,38437,38437,NA,35132,35132,NA,25377,25377,NA,22075,22075,9657,9657
"31",2007,25222,25222,NA,25122,25122,NA,20683,20683,1590,22273,20683,2607,2607
"32",2008,223911,223911,NA,193739,193739,NA,161343,161343,3991,165334,161343,28340,28340
"33",2009,186166,186166,NA,162830,162830,NA,133106,133106,1831,134937,133106,16034,16034
"34",2010,406925,406925,NA,338310,338310,NA,295638,295638,NA,291764,291764,35821,35821
"35",2011,194571,194571,NA,146111,146111,NA,132096,132096,NA,111508,111508,18634,18634
"36",2012,544106,544106,NA,410620,410620,NA,363314,363314,NA,326107,326107,66520,66520
"37",2013,197737,197737,NA,159208,159208,NA,131655,131655,NA,129993,129993,29015,29015
"38",2014,655983,655983,NA,581121,581121,NA,492892,492892,NA,490804,490804,99901,99901
"39",2015,545156,545156,NA,264678,264678,NA,216389,216389,NA,187055,187055,51566,51566
"40",2016,357826,357826,NA,310341,310341,NA,235925,235925,NA,216036,216036,73697,73697
"41",2017,89955,89955,NA,73218,73218,NA,46701,46701,NA,42299,42299,23854,23854
"42",2018,198150,198150,NA,172009,172009,NA,162684,162684,NA,153637,153637,13973,13973
"43",2019,66279,66279,NA,58562,58562,NA,50464,50464,NA,49862,49862,8877,8877
"44",2020,357555,357555,NA,280440,280440,NA,249521,249521,NA,226107,226107,43391,43391
"45",2021,161564,161564,NA,109367,109367,NA,82643,82643,NA,76255,76255,30826,30826
"46",2022,696983,696983,NA,659933,659933,NA,562721,562721,NA,478418,478418,110693,110693
"47",2023,344462,344462,NA,247772,247772,NA,149525,149525,NA,136956,136956,84473,84473
