"","Return_Year","RockI_Sockeye_adj","RRH_Sockeye_adj","Wells_Sockeye_adj","Tum_Sockeye_adj","Wen_Stock_Comp_1","Ok_Stock_Comp_1","Wen_Stock_Comp_2","Wen_Stock_Comp_Best","Ok_Stock_Comp_Best","Stock_Comp_Total"
"1",1977,90261,28726,21973,NA,0.68,0.32,0,0.68,0.32,1
"2",1978,14936,9351,7644,NA,0.37,0.63,0,0.37,0.63,1
"3",1979,50583,32418,26655,NA,0.36,0.64,0,0.36,0.64,1
"4",1980,52657,33495,26573,NA,0.36,0.64,0,0.36,0.64,1
"5",1981,47139,34327,28234,NA,0.27,0.73,0,0.27,0.73,1
"6",1982,41111,19464,19005,NA,0.53,0.47,0,0.53,0.47,1
"7",1983,86424,29208,27925,NA,0.66,0.34,0,0.66,0.34,1
"8",1984,109092,82085,81054,NA,0.25,0.75,0,0.25,0.75,1
"9",1985,103200,60566,59984,NA,0.41,0.59,0,0.41,0.59,1
"10",1986,49788,42476,39380,NA,0.15,0.85,0,0.15,0.85,1
"11",1987,69868,46049,45416,NA,0.34,0.66,0,0.34,0.66,1
"12",1988,49177,41487,38463,NA,0.16,0.84,0,0.16,0.84,1
"13",1989,37360,18116,18085,NA,0.52,0.48,0,0.52,0.48,1
"14",1990,44143,10412,8613,NA,0.76,0.24,0,0.76,0.24,1
"15",1991,62118,33565,31119,NA,0.46,0.54,0,0.46,0.54,1
"16",1992,68359,51222,47489,NA,0.25,0.75,0,0.25,0.75,1
"17",1993,65630,31717,31525,NA,0.52,0.48,0,0.52,0.48,1
"18",1994,10976,2034,1886,NA,0.81,0.19,0,0.81,0.19,1
"19",1995,9075,5973,5538,NA,0.34,0.66,0,0.34,0.66,1
"20",1996,29500,21741,20038,NA,0.26,0.74,0,0.26,0.74,1
"21",1997,40375,30661,27871,NA,0.24,0.76,0,0.24,0.76,1
"22",1998,9367,5988,4666,NA,0.36,0.64,0,0.36,0.64,1
"23",1999,18242,14111,12388,1172,0.23,0.77,0.06,0.23,0.77,1
"24",2000,76512,64656,59944,20979,0.15,0.85,0.27,0.21,0.79,1
"25",2001,104840,80341,74486,32633,0.23,0.77,0.31,0.27,0.73,1
"26",2002,44319,12373,10659,27821,0.72,0.28,0.63,0.675,0.325,1
"27",2003,34779,30355,29374,5074,0.13,0.87,0.15,0.14,0.86,1
"28",2004,106666,81338,78053,33167,0.24,0.76,0.31,0.275,0.725,1
"29",2005,71226,55570,55559,14218,0.22,0.78,0.2,0.21,0.79,1
"30",2006,35132,25377,22075,9657,0.28,0.72,0.27,0.275,0.725,1
"31",2007,25122,24024,22273,2607,0.04,0.96,0.1,0.07,0.93,1
"32",2008,193739,178331,165334,28340,0.08,0.92,0.15,0.115,0.885,1
"33",2009,162830,145544,134937,16034,0.11,0.89,0.1,0.105,0.895,1
"34",2010,338310,295638,291764,35821,0.13,0.87,0.11,0.12,0.88,1
"35",2011,146111,132096,111508,18634,0.1,0.9,0.13,0.115,0.885,1
"36",2012,410620,363314,326107,66520,0.12,0.88,0.16,0.14,0.86,1
"37",2013,159208,131655,129993,29015,0.17,0.83,0.18,0.175,0.825,1
"38",2014,581121,492892,490804,99901,0.15,0.85,0.17,0.16,0.84,1
"39",2015,264678,216389,187055,51566,0.18,0.82,0.19,0.185,0.815,1
"40",2016,310341,235925,216036,73697,0.24,0.76,0.24,0.24,0.76,1
"41",2017,73218,46701,42299,23854,0.36,0.64,0.33,0.345,0.655,1
"42",2018,172009,162684,153637,13973,0.05,0.95,0.08,0.065,0.935,1
"43",2019,58562,50464,49862,8877,0.14,0.86,0.15,0.145,0.855,1
"44",2020,280440,249521,226107,43391,0.11,0.89,0.15,0.13,0.87,1
"45",2021,109367,82643,76255,30826,0.24,0.76,0.28,0.26,0.74,1
"46",2022,659933,562721,478418,110693,0.15,0.85,0.17,0.16,0.84,1
"47",2023,247772,149525,136956,84473,0.4,0.6,0.34,0.37,0.63,1
