"","return_year","prop_age_1.1","prop_age_1.2","prop_age_2.1","prop_age_1.3","prop_age_2.2","prop_age_2.3","total","Sample_Size","Source","Age_Method","Notes"
"1",1985,0.069,0.88,0.011,0.006,0.034,0,1,175,"Fryer (1985) Master's Thesis (?)","Deadpitch on SG","Marine ages based on length of fish"
"2",1986,NA,NA,NA,NA,NA,NA,NA,0,NA,"use multi-year average?","Based on what years?"
"3",1987,0.492,0.46,0.01,0.028,0.01,0,1,508,"https://critfc.org/wp-content/uploads/2021/08/88-2.pdf","SPA - Mixed Stock Adjusted?","Based on mixed stock (@BON) SPA for stock ID of age 1.2s. Report indicates 45% OKA, 45% WEN, 10% UNK (dam counts indicate 66% OKA). 1.1s and 2.1s assigned to OKA. 97% of SK sampled on OKA spawning grounds were 1.x; 3% 2.x, apportioned somehow to 1.1 and 1.2 approximately equally (49 and 46%)."
"4",1988,0.00199,0.96853,0.01037,0.01273,0.00638,0,1,195,"https://critfc.org/wp-content/uploads/2021/08/89-2.pdf","SPA - Mixed Stock Adjusted?","SPA for stock ID; biosampled at WELLS.  Dam counts indicate 24% OKA."
"5",1989,0.03019,0.9312,0.00597,0.02738,0.00526,0,1,451,"https://critfc.org/wp-content/uploads/2021/08/90-2.pdf","SPA - Mixed Stock Adjusted?","SPA for stock ID; biosampled at WELLS.  Dam counts indicate 24% OKA."
"6",1990,0.452084520845208,0.261892618926189,0.018840188401884,0.226272262722627,0.035060350603506,0.00585005850058501,1,406,"https://critfc.org/wp-content/uploads/2021/08/91-2.pdf","SPA - Mixed Stock Adjusted?","SPA for stock ID; biosampled at WELLS.  Dam counts indicate 24% OKA."
"7",1991,0.15420154201542,0.759787597875979,0.0667806678066781,0.014820148201482,0.001470014700147,0.002940029400294,1,473,"https://critfc.org/wp-content/uploads/2021/08/92-2.pdf","SPA - Mixed Stock Adjusted?","Biosampled at WELLS.  Age comp differs slightly from report Table 2. Perhaps due to all age 1.1 and 2.1 being classified as Okanagan. Dam counts indicate 50% OKA; report 53% OKA."
"8",1992,0.168793248270069,0.733440662373505,0.0699472021119155,0.0136194552217911,0.0141994320227191,0,1,688,"https://critfc.org/wp-content/uploads/2021/08/93-2-1.pdf","SPA - Mixed Stock Adjusted?","Biosampled at WELLS.   Dam counts indicate 69% OKA."
"9",1993,0,0.88654,0.00184,0.05258,0.05665,0.00239,1,523,"https://critfc.org/wp-content/uploads/2021/08/94-2.pdf","SPA - Mixed Stock Adjusted?","Biosampled at WELLS.  Dam counts indicate 48% OKA."
"10",1994,0.14294,0.12612,0.01565,0.69848,0.01681,0,1,99,"?","SPA - Mixed Stock Adjusted?","CRITFC report(s) not found for this year.  Dam counts indicate 17% OKA."
