sampling.event,date,run.time,ona.fish,okr.section,reach,fork_length_cm,poh_cm,otolith,otolith_vial,total.age,european.age,age.sample.quality,aging.comments,origin,hatchery,sex,spawned,fecundity,dna_yn,dna_vial,dna.results,tagged_yn,tag.type,tag,comments,year,doy,flreg,fish
Deadpitch,10/9/2014,Week 1,129471,Shingle Creek,NA,34,28,2,1,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,1,NA,NA,NA,NA,NA,2014,282,34,Kokanee
Deadpitch,10/9/2014,Week 1,129472,Shingle Creek,NA,30.5,25,2,2,NA,NA,NA,NA,NA,NA,F,P,NA,Y,2,NA,NA,NA,NA,eggs still in fish,2014,282,30.5,Kokanee
Deadpitch,10/9/2014,Week 1,129473,Shingle Creek,NA,38.5,33.5,2,3,NA,NA,NA,NA,NA,NA,F,S,NA,Y,3,NA,NA,NA,NA,tail deteriated,2014,282,38.5,Sockeye
Deadpitch,10/9/2014,Week 1,129474,Shingle Creek,NA,NA,22.5,2,4,NA,NA,NA,NA,NA,NA,F,S,NA,Y,4,NA,NA,NA,NA,"no tail fin, DNA from dorsal",2014,282,28.5,Kokanee
Deadpitch,10/9/2014,Week 1,129475,Shingle Creek,NA,NA,28.5,1,5,NA,NA,NA,NA,NA,NA,F,S,NA,Y,5,NA,NA,NA,NA,NA,2014,282,36,Sockeye
Deadpitch,10/9/2014,Week 1,129476,Shingle Creek,NA,NA,31,1,6,NA,NA,NA,NA,NA,NA,F,S,NA,Y,6,NA,NA,NA,NA,DNA from dorsal,2014,282,39.2,Sockeye
Deadpitch,10/9/2014,Week 1,129477,Shingle Creek,NA,NA,31,2,7,NA,NA,NA,NA,NA,NA,F,S,NA,Y,7,NA,NA,NA,NA,DNA too thick; falls off sheet,2014,282,39.2,Sockeye
Deadpitch,10/15/2014,Week 2,129478,Shingle Creek,NA,NA,24,2,8,NA,NA,NA,NA,NA,NA,F,S,NA,Y,8,NA,NA,NA,NA,NA,2014,288,30.4,Kokanee
Deadpitch,10/15/2014,Week 2,129479,Shingle Creek,NA,NA,25,2,9,NA,NA,NA,NA,NA,NA,F,S,NA,Y,9,NA,NA,NA,NA,NA,2014,288,31.6,Kokanee
Deadpitch,10/15/2014,Week 2,129480,Shingle Creek,NA,26.5,21.5,2,10,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,10,NA,NA,NA,NA,NA,2014,288,26.5,Kokanee
Deadpitch,10/15/2014,Week 2,129481,Shingle Creek,NA,24,19,2,11,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,11,NA,NA,NA,NA,NA,2014,288,24,Kokanee
Deadpitch,10/15/2014,Week 2,129482,Shingle Creek,NA,NA,24,2,12,NA,NA,NA,NA,NA,NA,F,S,NA,Y,12,NA,NA,NA,NA,NA,2014,288,30.4,Kokanee
Deadpitch,10/15/2014,Week 2,129483,Shingle Creek,NA,30.5,23.5,2,13,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,13,NA,NA,NA,NA,NA,2014,288,30.5,Kokanee
Deadpitch,10/20/2014,Week 3,129484,Shingle Creek,NA,35,26.5,2,14,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,14,NA,NA,NA,NA,NA,2014,293,35,Sockeye
Deadpitch,10/20/2014,Week 3,129485,Shingle Creek,NA,NA,19,2,15,NA,NA,NA,NA,NA,NA,F,S,NA,Y,15,NA,NA,NA,NA,NA,2014,293,24.1,Kokanee
Deadpitch,10/20/2014,Week 3,129486,Shingle Creek,NA,NA,23.5,2,16,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,16,NA,NA,NA,NA,NA,2014,293,29.7,Kokanee
Deadpitch,10/20/2014,Week 3,129487,Shingle Creek,NA,NA,36.5,2,17,NA,NA,NA,NA,NA,NA,F,N,NA,Y,17,NA,NA,NA,NA,NA,2014,293,46.1,Sockeye
Deadpitch,10/20/2014,Week 3,129488,Shingle Creek,NA,40,31.5,2,18,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,18,NA,NA,NA,NA,NA,2014,293,40,Sockeye
Deadpitch,10/20/2014,Week 3,129489,Shingle Creek,NA,43,34.5,2,19,NA,NA,NA,NA,NA,NA,F,N,NA,Y,19,NA,NA,NA,NA,NA,2014,293,43,Sockeye
Deadpitch,10/20/2014,Week 3,129490,Shingle Creek,NA,NA,30.5,2,20,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,20,NA,NA,NA,NA,one otolith deformed,2014,293,38.6,Sockeye
Deadpitch,10/20/2014,Week 3,129491,Shingle Creek,NA,41,33.5,2,21,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,21,NA,NA,NA,NA,NA,2014,293,41,Sockeye
Deadpitch,10/20/2014,Week 3,129492,Shingle Creek,NA,40.5,32.5,2,22,NA,NA,NA,NA,NA,NA,M,n/a,NA,Y,22,NA,NA,NA,NA,NA,2014,293,40.5,Sockeye
Deadpitch,10/20/2014,Week 3,129493,Shingle Creek,NA,39,30.5,0,23,NA,NA,NA,NA,NA,NA,F,P,NA,Y,23,NA,NA,NA,NA,"squished fish, missing eyes",2014,293,39,Sockeye
Deadpitch,10/25/2014,Week 3,129494,Shingle Creek,NA,NA,39,2,24,NA,NA,NA,NA,NA,NA,F,S,NA,Y,24,NA,NA,NA,NA,NA,2014,298,49.3,Sockeye
Deadpitch,10/25/2014,Week 3,129495,Shingle Creek,NA,NA,40,2,25,NA,NA,NA,NA,NA,NA,F,S,NA,Y,25,NA,NA,NA,NA,NA,2014,298,50.5,Sockeye
